[38,39,11,48,43,27,70,49,39,53,4,70,31,38,3,33,63,68,55,15,32,27,54,20,54,3,53,55,33,15,36,70,32,48,61,37,6,25,42,32,64,10,54,42,40,67,43,29,33,14]
[40,14,7,54,17,16,56,7,70,14,11,29,22,30,36,31,42,1,69,56,9,38,34,7,38,2,39,65,26,67,51,8,40,14,54,33,0,36,67,47,24,14,3,28,44,64,19,37,35,53]
[14,21,27,11,52,6,57,60,17,68,69,15,38,39,55,11,51,29,37,60,16,16,30,32,23,53,12,13,63,35,68,70,11,12,63,62,69,45,32,62,69,70,28,5,62,63,34,32,55,7]
[43,30,31,65,11,36,52,23,11,54,46,57,4,52,56,35,30,12,11,12,55,7,37,26,30,46,68,32,0,61,67,37,42,15,22,21,68,22,7,3,63,42,44,39,25,1,30,32,8,35]
[20,57,12,27,43,44,8,70,50,49,20,54,6,68,2,65,23,13,23,15,27,49,28,28,30,23,53,66,15,56,6,45,3,9,4,20,36,69,40,23,58,44,40,24,24,20,43,42,42,13]
[3,25,52,47,15,39,21,33,42,60,21,66,3,15,8,32,0,19,3,35,1,10,61,26,35,52,19,14,47,57,12,16,60,38,61,38,39,22,69,29,23,56,46,19,23,64,27,68,32,11]
[46,15,45,35,48,22,7,48,46,1,27,24,62,41,10,34,29,45,39,19,10,12,44,47,23,60,23,68,55,57,36,24,2,18,24,2,5,37,15,55,66,44,9,25,2,64,45,28,19,38]
[0,9,23,47,66,11,44,58,27,21,64,43,63,12,45,48,42,4,61,54,24,28,9,61,39,13,38,70,8,37,5,14,31,49,52,63,49,49,53,64,41,39,62,34,4,23,9,20,69,55]
[22,30,12,21,67,12,59,63,62,69,21,16,50,57,57,17,39,9,41,53,47,14,5,31,9,9,4,48,14,18,27,52,45,35,25,52,56,13,8,31,43,50,13,63,37,70,69,66,7,16]
[12,21,38,65,1,36,47,4,67,68,38,30,9,58,25,44,69,9,22,23,3,17,68,1,67,31,10,10,12,18,63,31,51,46,18,37,21,12,42,47,28,38,63,13,69,42,66,26,37,34]
[1,61,33,21,13,15,55,5,57,2,10,3,1,0,40,25,49,33,31,52,36,41,32,1,51,54,14,0,60,61,66,57,34,47,35,61,66,60,12,16,41,25,58,55,14,17,10,13,2,65]
[11,0,49,64,30,63,58,35,60,18,7,31,16,15,1,33,65,6,20,69,70,26,25,14,20,70,24,30,55,41,44,61,30,39,53,30,17,1,42,68,65,41,14,16,37,18,40,11,22,10]
[41,11,29,60,65,58,69,59,70,62,40,21,51,33,31,7,49,51,46,52,58,3,4,0,11,43,6,37,55,38,40,21,25,23,1,41,8,32,15,33,6,62,8,29,58,24,65,32,25,64]
[70,17,25,51,42,26,5,13,47,23,22,64,51,45,35,8,10,23,22,64,32,11,6,68,38,3,14,65,31,5,62,29,6,2,0,54,44,5,9,37,48,2,64,37,58,44,31,45,23,22]
[65,28,58,67,10,22,3,33,25,24,33,8,63,38,70,35,15,4,3,66,12,6,4,50,2,12,65,31,14,67,58,32,24,11,44,51,56,30,59,28,0,51,25,31,61,41,54,48,65,2]
[12,57,20,63,40,27,62,18,2,13,28,4,58,30,48,9,24,65,53,32,29,18,64,3,53,60,51,48,39,42,58,38,65,26,6,14,38,47,59,29,63,54,24,49,60,4,55,49,17,59]
[32,19,50,1,25,34,4,1,3,52,66,14,20,27,36,15,15,57,6,37,16,1,22,36,47,62,17,48,17,35,16,5,70,33,16,30,67,38,33,21,3,20,11,3,26,54,68,36,56,67]
[0,15,19,33,70,1,44,21,16,39,19,9,66,1,1,31,28,68,12,43,25,12,46,24,63,9,3,4,65,63,1,47,8,61,58,59,42,49,26,37,27,27,65,33,53,37,65,8,4,15]
[70,24,25,36,22,37,61,24,24,68,23,29,2,4,19,8,23,38,37,42,0,62,31,28,64,33,29,32,2,67,49,46,45,39,23,30,3,42,15,47,18,22,31,20,67,39,22,54,68,17]
[17,30,2,0,40,38,11,0,10,61,37,35,10,30,42,45,4,70,28,20,41,24,3,8,26,34,33,52,53,62,7,38,54,63,61,38,58,29,43,38,41,0,3,4,52,53,52,12,13,60]
